upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
2929,FLAT PARSLEY,91,72.8,171,136.88
3063,CHICKEN KIEV X2,663,2321.1,913,3196.1
3506,DUCK A L'ORANGE,63,535.5,125,1062.5
9515,DINE IN CHICKEN,2,12,0,0
10191,SAL PRAWN AVO,6,36,7,42
10238,PRWN SAL TERIN,0,0,0,0
11235,S/CRST PASTRY,59,118,156,312.2
11297,MANDAGOLD,23,50,14,32
11600,F/R EGG LGE X6,388,776.8,230,460.7
11709,AB FLJK CKS,3,5.25,0,0
11716,F/R EGGS X6,63,85.25,58,78.4
11778,RF ST GING CKS,2,3.5,0,0
11839,STWBRY & BANAN,34,78.3,86,198.2
11891,R/BOW BABY CARR,55,110,86,172
11990,KIDDERTON CW,0,0,3,9.5
12126,P/PASSIONFRUIT,1,1,1,1
12683,SLICED WH MRMS,458,458,387,387
13086,BIRCHER MUESLI,0,0,1,2
14649,ROTIS CHICKN,135,810,246,1476
14663,BCON&CHS BAKE (,7,21.8,2,6.2
14670,COU CHKN PIE,388,1164,323,969
14700,COU BEEF RAGU,177,531,344,1032
14717,COU PRWN LINGNE,133,399,234,702
14724,COU CHK ARRBTA,236,708,354,1062
14854,BFY POT RST CHK,761,3044,948,3792
14960,BFY BEEF NDLES,13,52,26,104
15011,WHOLE BIRD LGE,213,1132.86,391,2117.38
15035,P/S/O CHICKN FW,85,510,192,1152
15462,CGRILL PRNS 80G,197,592.6,286,858.8
17619,CHILLI CON CRNE,442,1106.2,497,1243.7
17640,FR DRUMSTICKS,29,109.38,49,183.68
17657,FR S/LESS THIGH,35,233.08,71,426.05
17664,FR MINI FILLETS,15,66.64,41,174.09
17671,FR THIGHS,57,236.68,92,390.02
17817,IRL 2.5KG MAR P,32,88.5,12,34.9
17824,IRL 1.5KG MAR P,21,40.15,16,32.25
18166,6 CRUMPETS.,9,9,11,11
18593,MW 2 HOT CROSS,8,19.2,2,4.8
18616,F/R EGG MED X12,36,90,32,80
18647,SMPLY MIXED X6,460,391,257,218.45
18654,SMPLY MIXED X15,145,290,131,262
18661,6 MARAN EGGS,25,55,33,72.6
18678,6 ARAUCANA EGGS,1,2.2,6,13.2
18685,6 SPECIAL BREED,23,69,19,57
18692,ORG MIXED X10,17,68.5,20,80
19033,SCOT MED X6,5,7.5,7,10.5
19064,SCOT LGE X12,9,31.5,13,45.5
19071,SCOT LGE X6,20,39,19,37.05
19088,SCOT VRY LGE X6,4,10,0,0
19095,IRISH LGE X6,15,29.25,4,7.8
19101,FREE RANGE CHKN,25,242.66,51,505.66
19118,SCT ORG V/LG X6,12,33.6,5,14
19125,SCOT ORG MED X6,7,14,7,14
19156,IR ORG LGE X6,2,4.8,1,2.4
19163,SCOT MED X12,0,0,4,11.6
19194,SCOT ORG LGE X6,16,38.4,12,28.8
19224,IRISH LGE X12,3,10.5,2,7
19453,PREPACK SWEDE,180,144,254,203.2
19477,SWT POT JKTS X2,6,10.5,20,35
19484,RD ONION NET X3,113,120.9,80,84.75
19545,FREE RANGE FLTS,39,172.62,90,378.96
20374,ORG BB LF RKT,1,2,1,2
20589,SKNY JAFFA DSRT,10,15,28,42.3
20664,POTATOES 1KG,309,309,338,338
20671,GBF NEW POTS,11,22.8,11,22.8
21241,SAV X/FINE BEAN,24,48,72,144
22101,GORTNAMONA GOAT,1,2,0,0
22729,MAC N CHS BITES,31,93,73,219
22750,MOZZ STICKS,140,420.2,213,641.5
23238,PARMESAN RAVIOL,9,27,37,111
23467,GBF EPEEL LSE,2,0.72,0,0
24068,CAJUN TENDERS,59,236.75,152,608
24075,KATSU TENDERS,47,188.5,151,604
24136,LEMON P TENDERS,30,120,100,400
24327,SCOT LOC SALMON,7,154,22,484
25263,SAL SWT CHL FLK,28,140,76,380
25294,JA SWCH HS SAL,29,101.5,51,178.5
25300,JA HR HS SAL,42,147,99,346.5
25515,HC SAU RL HOG 4,36,99.76,87,237.04
25591,PRK PIE W/ PCKL,45,112.5,153,382.5
25621,PORK CRK STRWS,3,6,5,10
25638,16 CHK BITES,36,72,110,220
25744,DNKY MM PRK PIE,617,1452.4,1015,2397.3
25751,JA H HAM CHNK,47,131.7,98,274.5
25775,SAMPHIRE,53,106,73,146
26093,COD & SCRAPS,46,230,138,690
26130,HADDOC & SCRAPS,61,305,159,795
26796,SEEDED SDOUGH,1,2,0,0
26970,IT MOZZA MAR,109,354.85,209,680
27052,PRK RL SWT SMK,199,647.05,289,939.55
27076,CRUDITE SWEET,51,153,155,465
27083,MW BLUBRRY MFN,6,13.2,2,4.4
27144,CRUDITE CRUNCHY,46,138.2,81,243.4
27151,ANTIPASTI SKEW,19,61.75,55,178.75
27205,CHCLTE NUT POT,19,95,13,65
27298,MW LEM DRZZL CK,0,0,2,7
27304,IBERICO HAM,0,0,2,10
27861,ROQUEFORT,1,3,5,15
