name,total_volume_sold,total_volume_unsold
LUX PRWN PLTR,1,0
TURKEY JOINT,2,0
SHIMMER FOLIAGE,4,0
IRISH MED X12,2,0
GBF X BLOOM BQ,1,0
GBF EPEEL LSE,9,0
FTO SPICY POT,1,0
FTO SPR GRN VG,1,0
FTO MCROON ASST,1,0
MXD NUT IN SHEL,2,0
LILY FLOWERING,1,0
E NAV SESAME BA,2,0
S/C STK PIE 550,1,0
GBF SOS BQ,2,0
MDW BIS ASST,4,0
HAGGIS CROQS,1,0
MW SALTED CARAM,14,0
NARCISSI RIP VW,2,0
SEA SALT CARAME,1,0
PISTACHIO PASTE,2,0
MEAT FEAST,1,0
SPMINT SF GUM,6,0
SPRKLN ELD PRSS,8,0
SIMPLY BUTTER,1,0
APP/CI S.SEEDS,12,0
MILK BOTTLES,1,0
GR227 YULE LOG,3,0
SPELT FRT BATON,2,0
BIKINI POTATOES,1,0
IR TOMALINI VN,2,0
GUILT FREE LIGH,2,0
CHEESE TWISTS,1,0
FTO PAUPIETTES,1,0
IRISH  UNSMOKED,3,0
FTO CHEESBAC TW,1,0
MINI POPPADUMS,15,0
ICED FRUIT SLAB,4,0
GBF HAM TAGTLLE,4,0
2 L/D LEMONSOLE,1,0
UNS ALMOND DRNK,1,0
WALNUTS,2,0
BELGIAN BISCUIT,1,0
ROSETTE LOLLYS,17,0
ETG NARCISSI,2,0
CAPPUCCINO TWST,4,0
POP CAN SBALLS,2,0
APP BLKBRY TART,2,0
10 MINI PRAWN F,3,0
2 BRD COD STKS,1,0
LAMB SHOULDER,1,0
GBF SOS SUMMER,1,0
DYO SANTA BISC,1,0
PK048 PRTRIDGE,1,0
LUMPFISH CAVIAR,1,0
2 GF ST CLEMENT,7,0
LSE BRIT PLUMS,7,0
EDAMAME SES,3,0
GW XMAS ROSE,1,0
NBL FIR SCOTTIE,3,0
SNOW CHRYSANTH,1,0
TWINKLE ORCHID,2,0
AZTEC HOT CHOC,4,0
EB FTO TRKY CRN,3,0
HYACINTH COLLEC,1,0
BEL CH DELIGHTS,1,0
*HC RLEIC/ONION,2,0
THE SUSHI LOVER,3,0
MEX CHKN TNDR,2,0
EW SPIN/PINE,1,0
JAFFA CK PMP,2,0
BATT COD FLTS,1,0
CHERRY LIQ'S,1,0
G/F TOP ICE CAK,1,0
L/H SALM FLATTI,4,0
F/C MACKEREL,1,0
LMN LIME JAFFA,1,0
ARRABIATTA CHIC,2,0
TRUFFLE PESTO,1,0
TRPL CHOC GATEU,1,0
CALABRIAN SALSI,1,0
SAUCISSON SEC,1,0
L FISH CANAPE,1,0
GF PARTY SELECT,2,0
FTO INDIAN SELN,1,0
IRL SIMPLY SMKD,1,0
FR BB JNT 8-10,1,0
ONION RINGS,2,0
NET EYE/PUMPKIN,1,0
JALAPENO TORT,11,0
FRT/NUT COLLECT,3,0
AG CRZ LOVE GW,1,0
STAG TIN,2,0
T TIME SELECT T,2,0
IRL RASPB SML,4,0
VZ SPARKS,1,0
PROFITEROLES,3,0
SCOT BRD HADD,2,0
COEUR DE BOEUF,8,0
B APR SM WILLOW,2,0
LARGE ALLIUM NI,2,0
GREENGAGES,5,0
CHOCS 310 TRANS,1,0
DARK JAFFA BAG,7,0
NUT ASSORTMENT,8,0
BACON ROLL,4,0
HFRM  FRZ BGTTE,10,0
Ham B Hon & Or,7,0
FISH & CHIPS,2,0
4 MCML VICTORIA,1,0
1L SODA WATER,1,0
PIGS N BLANKETS,1,0
LAZY GINGER,1,0
4 LG AL MT EVER,1,0
PUSHKINIA LIBAN,2,0
9 STOLLEN BITES,1,0
DUCK/ORANG PATE,1,0
LAMB SHISH,1,0
YL094 BEEF WELL,1,0
4 WHOLEWHEAT CH,2,0
BALSAMIC ROSEBU,2,0
TEMPURA PRAWNS,4,0
FTO CRUDITE,3,0
TWIRL STD 43.8G,1,0
*SPK WATER 500M,3,0
*WATER 500ML,3,0
VZ SPARKS,1,0
SEED/NUT MIX,2,0
COUNT COLIN CKE,1,0
1 PADD LOLLY,6,0
ORNTL PRAWNS,1,0
PBEAR BUT POT,14,0
TUNIS CAKE,5,0
SO GANACHE TREE,4,0
C LILAC SENSATN,1,0
CLASSIC PLATTER,2,0
RED WINE/CHEESE,1,0
*COU CHOC MOUSS,2,0
EX CHOC BARS,1,0
LRG HOT CHOC,2,0
WASABI PEAS,2,0
SWEET POT LSE,13,0
RED SALSA,1,0
TEACAKES 1.50,7,0
FT ITALIAN BEAN,1,0
SGE & ONN ST,1,0
BELGIAN CLASSIC,1,0
GOLD DECAF 100G,4,0
GARLIC AND HERB,2,0
4 SCALLOPS,3,0
GF 2 NAANS,1,0
NTTY COCOA BIRC,1,0
BRD COD FLTS,5,0
R/S POT STCKS,2,0
HRST CASH 150G,2,0
VEG S/ ROLL,1,0
4 L/D PLAICE,1,0
CHARENTAIS MEL,3,0
SAUSAGE TOASTIE,2,0
SWISS ASST 585G,5,0
ROSE BAY CUBE,3,0
GROUNDNUT OIL,1,0
MENTHOL POCKET,20,0
GARDEN PEAS,11,0
IRL ROSA VINE 4,2,0
IRL PICC CHERRY,1,0
CHICKEN KORMA,4,0
FTO BRIT CHSE,3,0
2 PESHWARI NAAN,1,0
BALS SAN GIACMO,1,0
LTY CRUDITES,1,0
LOVE TOKEN LOLL,1,0
BROWNIE MB (F),1,0
GF CHRISTMAS SL,5,0
IND FUDGE BAR,1,0
TULIP RED LACE,4,0
PNUT BUTT BAR,6,0
MUSCARI MIX,1,0
GRILLED RED PEP,2,0
GBF WTR WONDER,1,0
FTO 4 VEG KIEV,1,0
FTO CHNSE MAIN,1,0
VZ M&S CRD VOUC,1,0
YL100 BEEF PIE,5,0
KENTISH COBNUTS,6,0
LUXURY WINTER F,2,0
FRUIT & NUT,1,0
BELGIAN FLKD TR,9,0
FTO QUICHE SELE,2,0
AG ROSE & HYDRA,1,0
